Account {0}: You can not assign itself as parent account,Hisob {0}: Siz uni yuqori hisob sifatida belgilashingiz mumkin emas,
Account: {0} can only be updated via Stock Transactions,Hisob: {0} faqatgina kabinetga operatsiyalari orqali yangilanishi mumkin,
Account: {0} with currency: {1} can not be selected,Hisob: {0} valyutaga: {1} tanlanmaydi,
Accountant,Hisobchi,
Accounting,Hisob-kitob,
Accounting Entry for Asset,Aktivlar uchun hisob yozuvi,
Accounting Entry for Stock,Qimmatli qog&#39;ozlar uchun hisob yozuvi,
Accounting Entry for {0}: {1} can only be made in currency: {2},{0} uchun buxgalteriya yozuvi: {1} faqatgina valyutada bo&#39;lishi mumkin: {2},
Accounting Ledger,Buxgalterlik hisobi,
Accounting journal entries.,Buxgalteriya jurnali yozuvlari.,
Accounts,Hisoblar,
Accounts Manager,Hisob menejeri,
Accounts Payable,Kreditorlik qarzi,
Accounts Payable Summary,To&#39;lanadigan qarz hisoboti,
Accounts Receivable,Kutilgan tushim,
Accounts Receivable Summary,Qabul qilinadigan hisobvaraqlarning qisqacha bayoni,
Accounts User,Hisoblar foydalanuvchisi,
Accounts table cannot be blank.,Hisoblar jadvali bo&#39;sh bo&#39;lishi mumkin emas.,
Accrual Journal Entry for salaries from {0} to {1},Accrual Journal {0} dan {1} ga qadar oylik maosh uchun,
Accumulated Depreciation,Yig&#39;ilgan amortizatsiya,
Accumulated Depreciation Amount,Yig&#39;ilgan Amortizatsiya summasi,
Accumulated Depreciation as on,Yig&#39;ilgan Amortismanlar,
Accumulated Monthly,Yil olingan oy,
Accumulated Values,Biriktirilgan qiymatlar,
Accumulated Values in Group Company,Guruh kompaniyalarida to&#39;plangan qiymatlar,
Achieved ({}),Erishildi ({}),
Action,Harakat,
Action Initialised,Harakat boshlang&#39;ich,
Actions,Amallar,
Active,Faol,
Activity Cost exists for Employee {0} against Activity Type - {1},Faoliyatning turi {1} uchun Ta&#39;minotchi uchun {0} ishchi uchun mavjud.,
Activity Cost per Employee,Xodimga ko&#39;ra harajatlar,
Activity Type,Faollik turi,
Actual Cost,Haqiqiy xarajat,
Actual Delivery Date,Haqiqiy etkazib berish sanasi,
Actual Qty,Haqiqiy Miqdor,
Actual Qty is mandatory,Haqiqiy miqdori majburiydir,
Actual Qty {0} / Waiting Qty {1},Haqiqiy miqdori {0} / kutayotgan Qty {1},
Actual Qty: Quantity available in the warehouse.,Haqiqiy miqdor: omborda mavjud bo&#39;lgan miqdor.,
Actual qty in stock,Aksiyada haqiqiy miqdor,
Actual type tax cannot be included in Item rate in row {0},Haqiqiy turdagi soliqni {0} qatoridagi Item Rate ga qo&#39;shish mumkin emas,
Add,Qo&#39;shish,
Add / Edit Prices,Narxlarni qo&#39;shish / tahrirlash,
Add Comment,Izoh qo&#39;shish,
Add Customers,Mijozlarni qo&#39;shish,
Add Employees,Ishchilarni qo&#39;shish,
Add Item,Mavzu qo&#39;shish,
Add Items,Ma&#39;lumotlar qo&#39;shish,
Add Leads,Rahbarlar qo&#39;shing,
Add Multiple Tasks,Ko&#39;p vazifalarni qo&#39;shing,
Add Row,Roy qo&#39;shish,
Add Sales Partners,Savdo hamkorlarini qo&#39;shish,
Add Serial No,Seriya raqami qo&#39;shing,
Add Students,Talabalarni qo&#39;shish,
Add Suppliers,Ta&#39;minlovchilarni qo&#39;shish,
Add Time Slots,Vaqt oraliqlarini qo&#39;shish,
Add Timesheets,Vaqt jadvallarini qo&#39;shish,
Add Timeslots,Timeslots-ni qo&#39;shish,
Add Users to Marketplace,Foydalanuvchilarni Bozorga qo&#39;shish,
Add a new address,Yangi manzil qo‘shing,
Add cards or custom sections on homepage,Bosh sahifaga kartalar yoki shaxsiy bo&#39;limlarni qo&#39;shing,
Add more items or open full form,Boshqa narsalarni qo&#39;shish yoki to&#39;liq shaklni oching,
Add notes,Qayd qo&#39;shish,
Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,"Tashkilotingiz qolgan qismini foydalanuvchilar sifatida qo&#39;shing. Siz shuningdek mijozlaringizni Kontaktlar ro&#39;yxatidan qo&#39;shib, portalga taklif qilishingiz mumkin",
Add to Details,Ma&#39;lumotlarga qo&#39;shish,
Add/Remove Recipients,Qabul qiluvchilarni qo&#39;shish / o&#39;chirish,
Added,Qo&#39;shilgan,
Added to details,Tafsilotlarga qo&#39;shildi,
Added {0} users,{0} foydalanuvchi qo&#39;shilgan,
Additional Salary Component Exists.,Ish haqi bo&#39;yicha qo&#39;shimcha komponentlar mavjud.,
Address,Manzil,
Address Line 2,Manzil yo&#39;nalish 2,
Address Name,Manzil nomi,
Address Title,Manzil sarlavhasi,
Address Type,Manzil turi,
Administrative Expenses,Ma&#39;muriy xarajatlar,
Administrative Officer,Ma&#39;muriy xodim,
